,12/2/2020 5:21:57 PM,12/2/2020 5:24:57 PM,12/2/2020 5:27:57 PM,12/2/2020 5:30:57 PM,12/2/2020 5:33:58 PM,12/2/2020 5:36:58 PM,12/2/2020 5:39:59 PM,12/2/2020 5:42:59 PM,12/2/2020 5:45:59 PM,12/2/2020 5:48:59 PM,12/2/2020 5:51:59 PM,12/2/2020 5:54:59 PM,12/2/2020 5:58:00 PM,12/2/2020 6:01:01 PM,12/2/2020 6:04:02 PM,12/2/2020 6:07:02 PM,12/2/2020 6:10:02 PM,12/2/2020 6:13:02 PM,12/2/2020 6:16:02 PM,12/2/2020 6:19:02 PM,12/2/2020 6:22:02 PM,12/2/2020 6:25:02 PM,12/2/2020 6:28:03 PM,12/2/2020 6:31:03 PM,12/2/2020 6:34:03 PM,12/2/2020 6:37:03 PM,12/2/2020 6:40:03 PM,12/2/2020 6:43:03 PM,12/2/2020 6:46:03 PM,12/2/2020 6:49:04 PM,12/2/2020 6:52:05 PM,12/2/2020 6:55:06 PM,12/2/2020 6:58:07 PM,12/2/2020 7:01:07 PM,12/2/2020 7:04:07 PM,12/2/2020 7:07:07 PM,12/2/2020 7:10:07 PM,12/2/2020 7:13:07 PM,12/2/2020 7:16:09 PM,12/2/2020 7:19:09 PM,12/2/2020 7:22:10 PM,12/2/2020 7:25:10 PM,12/2/2020 7:28:11 PM,12/2/2020 7:31:11 PM,12/2/2020 7:34:11 PM,12/2/2020 7:37:12 PM,12/2/2020 7:40:12 PM,12/2/2020 7:43:14 PM,12/2/2020 7:46:14 PM,12/2/2020 7:49:15 PM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"1.286","7.178","7.205","7.197","7.120","7.204","7.130","6.990","7.040","7.094","7.092","7.006","7.034","7.022","7.034","6.850","6.862","6.796","6.736","6.686","6.630","6.658","6.593","6.646","6.626","6.448","6.454","6.492","6.428","6.376","6.424","6.444","6.241","6.273","6.111","6.071","6.024","6.020","5.901","5.949","6.021","5.952","5.994","5.899","5.986","6.098","6.124","6.185","6.250","6.291","6.246"
"1.541","6.861","6.904","6.927","6.847","6.985","6.896","6.705","6.804","6.935","6.835","6.766","6.763","6.754","6.726","6.566","6.647","6.551","6.495","6.434","6.327","6.357","6.298","6.360","6.309","6.072","6.128","6.151","6.115","6.047","6.103","6.115","5.897","5.938","5.754","5.709","5.615","5.610","5.470","5.592","5.658","5.580","5.638","5.515","5.643","5.796","5.810","5.871","5.957","6.013","5.959"
"1.795","6.898","6.924","6.983","6.913","7.041","6.972","6.734","6.856","7.033","6.867","6.799","6.833","6.794","6.734","6.592","6.694","6.582","6.516","6.428","6.309","6.360","6.279","6.333","6.283","6.030","6.090","6.117","6.095","6.018","6.080","6.085","5.850","5.889","5.658","5.595","5.488","5.455","5.340","5.509","5.586","5.501","5.592","5.420","5.559","5.747","5.766","5.789","5.901","5.971","5.889"
"2.049","7.083","7.056","7.136","7.079","7.194","7.134","6.911","7.027","7.190","7.013","6.933","7.017","6.959","6.867","6.748","6.806","6.719","6.651","6.530","6.396","6.491","6.394","6.456","6.405","6.165","6.204","6.221","6.233","6.137","6.194","6.171","5.954","6.009","5.692","5.627","5.525","5.482","5.390","5.573","5.635","5.576","5.696","5.493","5.635","5.803","5.865","5.848","5.956","6.023","5.944"
"2.303","7.037","6.995","7.093","7.034","7.149","7.072","6.863","7.005","7.125","6.969","6.852","6.991","6.908","6.796","6.679","6.737","6.649","6.597","6.445","6.310","6.434","6.351","6.415","6.363","6.092","6.167","6.138","6.185","6.073","6.135","6.072","5.870","5.945","5.587","5.541","5.440","5.388","5.296","5.467","5.516","5.485","5.617","5.429","5.581","5.716","5.812","5.794","5.872","5.953","5.876"
"2.557","6.627","6.641","6.740","6.636","6.744","6.666","6.449","6.622","6.723","6.565","6.443","6.599","6.511","6.401","6.255","6.359","6.255","6.224","6.073","5.948","6.065","6.006","6.079","5.999","5.693","5.796","5.750","5.813","5.693","5.763","5.690","5.457","5.533","5.219","5.152","5.057","5.015","4.917","5.074","5.157","5.133","5.236","5.095","5.235","5.398","5.454","5.493","5.559","5.653","5.573"
"2.812","6.103","6.171","6.248","6.075","6.187","6.103","5.881","6.058","6.174","6.006","5.931","6.075","5.985","5.855","5.689","5.812","5.750","5.702","5.587","5.485","5.588","5.564","5.589","5.482","5.200","5.283","5.242","5.282","5.185","5.256","5.155","4.921","4.977","4.732","4.623","4.547","4.531","4.435","4.607","4.716","4.687","4.746","4.647","4.777","4.986","4.998","5.091","5.162","5.250","5.147"
"3.066","5.775","5.843","5.904","5.718","5.808","5.690","5.462","5.629","5.780","5.629","5.590","5.716","5.598","5.437","5.279","5.390","5.391","5.323","5.250","5.163","5.264","5.274","5.228","5.130","4.866","4.925","4.894","4.902","4.816","4.893","4.758","4.553","4.596","4.378","4.265","4.206","4.176","4.101","4.300","4.386","4.360","4.407","4.316","4.465","4.721","4.712","4.818","4.893","4.976","4.832"
"3.320","5.535","5.565","5.639","5.462","5.528","5.401","5.162","5.334","5.503","5.373","5.335","5.446","5.321","5.130","5.028","5.127","5.140","5.078","5.005","4.947","5.037","5.054","5.001","4.901","4.605","4.671","4.630","4.659","4.571","4.637","4.544","4.340","4.379","4.179","4.103","4.006","3.965","3.920","4.094","4.160","4.140","4.197","4.093","4.266","4.544","4.558","4.624","4.715","4.767","4.652"
