,12/2/2020 10:22:28 PM,12/2/2020 10:25:28 PM,12/2/2020 10:28:29 PM,12/2/2020 10:31:29 PM,12/2/2020 10:34:30 PM,12/2/2020 10:37:30 PM,12/2/2020 10:40:30 PM,12/2/2020 10:43:30 PM,12/2/2020 10:46:30 PM,12/2/2020 10:49:31 PM,12/2/2020 10:52:31 PM,12/2/2020 10:55:31 PM,12/2/2020 10:58:32 PM,12/2/2020 11:01:32 PM,12/2/2020 11:04:32 PM,12/2/2020 11:07:32 PM,12/2/2020 11:10:32 PM,12/2/2020 11:13:33 PM,12/2/2020 11:16:33 PM,12/2/2020 11:19:33 PM,12/2/2020 11:22:33 PM,12/2/2020 11:25:33 PM,12/2/2020 11:28:33 PM,12/2/2020 11:31:34 PM,12/2/2020 11:34:34 PM,12/2/2020 11:37:35 PM,12/2/2020 11:40:36 PM,12/2/2020 11:43:36 PM,12/2/2020 11:46:36 PM,12/2/2020 11:49:36 PM,12/2/2020 11:52:37 PM,12/2/2020 11:55:37 PM,12/2/2020 11:58:37 PM,12/3/2020 12:01:37 AM,12/3/2020 12:04:37 AM,12/3/2020 12:07:38 AM,12/3/2020 12:10:38 AM,12/3/2020 12:13:38 AM,12/3/2020 12:16:38 AM,12/3/2020 12:19:38 AM,12/3/2020 12:22:38 AM,12/3/2020 12:25:38 AM,12/3/2020 12:28:39 AM,12/3/2020 12:31:40 AM,12/3/2020 12:34:40 AM,12/3/2020 12:37:40 AM,12/3/2020 12:40:40 AM,12/3/2020 12:43:41 AM,12/3/2020 12:46:41 AM,12/3/2020 12:49:42 AM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"1.286","5.169","5.169","5.158","5.162","5.208","5.181","5.194","5.165","5.133","5.161","5.078","5.068","5.089","5.069","5.031","4.989","4.978","5.028","5.017","4.993","4.954","4.938","4.917","4.904","4.908","4.855","4.777","4.786","4.825","4.905","4.890","4.890","4.848","4.858","4.892","4.867","4.900","4.918","4.906","4.968","5.009","5.007","5.040","5.044","5.026","4.977","4.992","4.979","5.040","5.037"
"1.541","4.813","4.825","4.827","4.803","4.844","4.827","4.833","4.796","4.742","4.801","4.704","4.665","4.707","4.718","4.652","4.642","4.636","4.679","4.635","4.624","4.604","4.532","4.504","4.488","4.497","4.414","4.309","4.349","4.380","4.466","4.461","4.447","4.451","4.443","4.474","4.442","4.495","4.501","4.519","4.610","4.623","4.625","4.666","4.665","4.663","4.624","4.637","4.601","4.666","4.664"
"1.795","4.654","4.708","4.726","4.686","4.701","4.703","4.695","4.645","4.582","4.647","4.542","4.469","4.505","4.555","4.485","4.497","4.502","4.508","4.447","4.458","4.435","4.279","4.235","4.214","4.244","4.134","4.019","4.044","4.063","4.184","4.178","4.182","4.170","4.168","4.202","4.198","4.258","4.279","4.295","4.380","4.401","4.424","4.461","4.450","4.462","4.439","4.454","4.428","4.486","4.487"
"2.049","4.656","4.760","4.783","4.751","4.736","4.745","4.727","4.678","4.588","4.641","4.525","4.471","4.479","4.541","4.462","4.469","4.491","4.455","4.390","4.421","4.343","4.128","4.086","4.061","4.107","3.985","3.896","3.909","3.912","4.053","4.035","4.072","3.998","4.016","4.062","4.082","4.142","4.194","4.198","4.275","4.319","4.353","4.394","4.370","4.395","4.379","4.396","4.389","4.421","4.416"
"2.303","4.607","4.716","4.739","4.712","4.704","4.717","4.679","4.656","4.542","4.565","4.450","4.424","4.394","4.451","4.321","4.319","4.373","4.300","4.259","4.260","4.132","3.905","3.919","3.896","3.934","3.818","3.760","3.784","3.771","3.904","3.875","3.937","3.827","3.834","3.924","3.930","3.976","4.051","4.049","4.119","4.165","4.195","4.256","4.233","4.251","4.251","4.251","4.258","4.286","4.293"
"2.557","4.337","4.407","4.419","4.405","4.392","4.427","4.391","4.403","4.284","4.261","4.138","4.145","4.060","4.121","3.940","3.914","3.969","3.929","3.900","3.865","3.740","3.527","3.614","3.599","3.670","3.511","3.471","3.523","3.520","3.604","3.595","3.650","3.555","3.559","3.668","3.670","3.698","3.761","3.754","3.796","3.879","3.903","3.945","3.928","3.923","3.929","3.911","3.940","3.977","4.018"
"2.812","3.955","3.970","3.975","3.983","3.947","3.988","3.999","4.041","3.894","3.851","3.710","3.745","3.623","3.670","3.502","3.408","3.428","3.451","3.464","3.385","3.300","3.083","3.230","3.258","3.378","3.158","3.122","3.204","3.226","3.257","3.265","3.319","3.275","3.270","3.358","3.375","3.415","3.457","3.419","3.456","3.593","3.602","3.622","3.594","3.552","3.540","3.526","3.591","3.594","3.687"
"3.066","3.710","3.673","3.688","3.712","3.680","3.699","3.743","3.812","3.610","3.585","3.420","3.441","3.347","3.360","3.223","3.079","3.090","3.118","3.200","3.097","3.044","2.788","2.987","3.036","3.183","2.938","2.916","2.989","3.027","3.048","3.041","3.122","3.119","3.100","3.147","3.161","3.240","3.257","3.188","3.244","3.389","3.423","3.439","3.392","3.355","3.296","3.292","3.352","3.329","3.460"
"3.320","3.577","3.537","3.554","3.589","3.584","3.582","3.622","3.716","3.489","3.449","3.280","3.276","3.216","3.233","3.112","2.976","2.975","2.955","3.083","2.988","2.957","2.692","2.882","2.913","3.061","2.831","2.823","2.869","2.930","2.970","2.942","3.049","3.047","2.996","3.041","3.049","3.111","3.114","3.066","3.114","3.238","3.311","3.305","3.252","3.278","3.167","3.152","3.207","3.199","3.313"
"3.574","3.603","3.614","3.607","3.671","3.653","3.660","3.666","3.761","3.556","3.477","3.334","3.310","3.276","3.356","3.217","3.173","3.142","3.079","3.150","3.081","3.078","2.821","2.939","2.925","3.080","2.870","2.875","2.898","2.950","3.054","2.977","3.120","3.090","3.021","3.075","3.088","3.102","3.131","3.086","3.130","3.217","3.306","3.310","3.253","3.335","3.209","3.167","3.235","3.263","3.318"
"3.828","3.776","3.852","3.804","3.882","3.861","3.874","3.855","3.910","3.748","3.653","3.546","3.501","3.501","3.619","3.452","3.514","3.482","3.370","3.386","3.338","3.307","3.048","3.125","3.058","3.221","3.033","3.049","3.047","3.086","3.235","3.117","3.287","3.246","3.163","3.219","3.222","3.243","3.279","3.240","3.273","3.340","3.413","3.486","3.414","3.503","3.404","3.345","3.420","3.483","3.490"
"4.083","3.861","3.954","3.898","3.950","3.959","3.963","3.941","3.963","3.817","3.731","3.643","3.596","3.603","3.718","3.538","3.614","3.619","3.458","3.496","3.470","3.410","3.146","3.216","3.134","3.291","3.127","3.153","3.134","3.167","3.311","3.243","3.381","3.344","3.255","3.291","3.298","3.328","3.378","3.352","3.353","3.423","3.487","3.602","3.525","3.593","3.504","3.452","3.528","3.584","3.588"
"4.337","3.843","3.906","3.887","3.919","3.944","3.947","3.937","3.937","3.805","3.714","3.631","3.580","3.587","3.723","3.529","3.614","3.605","3.441","3.497","3.498","3.451","3.173","3.231","3.147","3.315","3.144","3.215","3.161","3.166","3.336","3.296","3.393","3.354","3.278","3.301","3.291","3.332","3.397","3.350","3.370","3.446","3.514","3.621","3.529","3.609","3.510","3.475","3.527","3.572","3.591"
"4.591","3.875","3.915","3.917","3.964","3.978","3.985","3.998","3.964","3.859","3.781","3.677","3.616","3.625","3.788","3.577","3.706","3.659","3.541","3.571","3.598","3.542","3.264","3.283","3.204","3.358","3.186","3.283","3.209","3.193","3.412","3.321","3.412","3.389","3.313","3.334","3.311","3.369","3.434","3.373","3.428","3.473","3.539","3.649","3.560","3.663","3.578","3.529","3.561","3.620","3.624"
"4.845","3.799","3.833","3.854","3.899","3.892","3.887","3.925","3.889","3.793","3.724","3.633","3.569","3.583","3.711","3.525","3.656","3.606","3.546","3.567","3.581","3.486","3.248","3.241","3.211","3.292","3.158","3.217","3.156","3.151","3.367","3.267","3.346","3.342","3.286","3.278","3.273","3.334","3.392","3.325","3.389","3.403","3.466","3.576","3.541","3.599","3.526","3.500","3.500","3.579","3.569"
