,12/3/2020 8:23:32 AM,12/3/2020 8:26:33 AM,12/3/2020 8:29:34 AM,12/3/2020 8:32:34 AM,12/3/2020 8:35:34 AM,12/3/2020 8:38:35 AM,12/3/2020 8:41:36 AM,12/3/2020 8:44:37 AM,12/3/2020 8:47:37 AM,12/3/2020 8:50:38 AM,12/3/2020 8:53:38 AM,12/3/2020 8:56:38 AM,12/3/2020 8:59:38 AM,12/3/2020 9:02:38 AM,12/3/2020 9:05:38 AM,12/3/2020 9:08:38 AM,12/3/2020 9:11:38 AM,12/3/2020 9:14:39 AM,12/3/2020 9:17:39 AM,12/3/2020 9:20:39 AM,12/3/2020 9:23:39 AM,12/3/2020 9:26:39 AM,12/3/2020 9:29:39 AM,12/3/2020 9:32:39 AM,12/3/2020 9:35:40 AM,12/3/2020 9:38:41 AM,12/3/2020 9:41:42 AM,12/3/2020 9:44:42 AM,12/3/2020 9:47:42 AM,12/3/2020 9:50:42 AM,12/3/2020 9:53:42 AM,12/3/2020 9:56:42 AM,12/3/2020 9:59:42 AM,12/3/2020 10:02:43 AM,12/3/2020 10:05:43 AM,12/3/2020 10:08:44 AM,12/3/2020 10:11:44 AM,12/3/2020 10:14:44 AM,12/3/2020 10:17:44 AM,12/3/2020 10:20:44 AM,12/3/2020 10:23:44 AM,12/3/2020 10:26:45 AM,12/3/2020 10:29:46 AM,12/3/2020 10:32:46 AM,12/3/2020 10:35:46 AM,12/3/2020 10:38:46 AM,12/3/2020 10:41:46 AM,12/3/2020 10:44:46 AM,12/3/2020 10:47:46 AM,12/3/2020 10:50:46 AM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"1.286","2.935","3.027","3.029","3.026","2.981","3.109","3.062","3.114","3.167","3.026","2.889","2.797","2.883","2.840","2.752","2.968","2.781","2.742","2.554","2.555","2.525","2.597","2.627","2.575","2.454","2.700","2.796","2.852","2.825","2.836","2.785","2.778","2.792","2.732","2.740","2.766","2.773","2.705","2.679","2.650","2.769","2.677","2.671","2.735","2.703","2.732","2.660","2.720","2.762","2.793"
"1.541","2.552","2.660","2.651","2.660","2.587","2.698","2.654","2.750","2.779","2.638","2.510","2.398","2.435","2.474","2.331","2.587","2.350","2.336","2.114","2.117","2.168","2.236","2.253","2.217","2.113","2.326","2.407","2.452","2.428","2.446","2.381","2.398","2.399","2.354","2.385","2.398","2.381","2.324","2.276","2.260","2.351","2.260","2.278","2.352","2.298","2.333","2.269","2.311","2.379","2.393"
"1.795","2.360","2.467","2.467","2.462","2.381","2.479","2.454","2.554","2.557","2.412","2.304","2.166","2.189","2.244","2.112","2.354","2.101","2.094","1.817","1.850","1.928","1.996","2.023","1.992","1.899","2.090","2.183","2.207","2.204","2.226","2.176","2.182","2.180","2.155","2.166","2.201","2.186","2.127","2.043","2.055","2.149","2.069","2.093","2.157","2.102","2.136","2.096","2.104","2.193","2.207"
"2.049","2.336","2.438","2.446","2.427","2.332","2.441","2.420","2.511","2.497","2.371","2.232","2.074","2.091","2.163","2.040","2.262","2.013","1.992","1.684","1.733","1.822","1.894","1.928","1.906","1.816","2.015","2.121","2.152","2.154","2.187","2.145","2.139","2.149","2.106","2.112","2.164","2.158","2.067","2.004","2.033","2.117","2.050","2.082","2.123","2.095","2.115","2.077","2.068","2.152","2.181"
"2.303","2.266","2.366","2.376","2.341","2.244","2.353","2.330","2.417","2.386","2.276","2.067","1.897","1.912","1.997","1.857","2.081","1.834","1.799","1.476","1.524","1.627","1.693","1.730","1.710","1.640","1.885","2.028","2.074","2.058","2.103","2.063","2.050","2.083","2.023","2.046","2.084","2.077","1.981","1.943","1.979","2.043","1.980","1.999","2.045","2.000","2.017","1.962","1.949","2.036","2.100"
"2.557","2.018","2.102","2.109","2.059","1.974","2.104","2.040","2.091","2.095","1.952","1.660","1.464","1.496","1.573","1.414","1.669","1.377","1.379","1.053","1.090","1.162","1.245","1.254","1.216","1.191","1.523","1.752","1.786","1.753","1.816","1.784","1.768","1.840","1.758","1.807","1.823","1.826","1.752","1.671","1.732","1.801","1.711","1.720","1.775","1.663","1.691","1.563","1.580","1.734","1.820"
"2.812","1.701","1.758","1.775","1.722","1.616","1.782","1.643","1.658","1.737","1.534","1.151","0.909","0.968","1.015","0.861","1.165","0.807","0.840","0.564","0.550","0.527","0.654","0.602","0.583","0.585","1.025","1.370","1.367","1.333","1.432","1.402","1.402","1.473","1.373","1.472","1.488","1.499","1.444","1.293","1.391","1.485","1.379","1.374","1.428","1.218","1.281","1.012","1.121","1.364","1.450"
"3.066","1.479","1.537","1.589","1.499","1.367","1.568","1.355","1.390","1.518","1.253","0.804","0.536","0.605","0.644","0.510","0.853","0.459","0.470","0.241","0.183","0.083","0.231","0.115","0.145","0.136","0.681","1.113","1.095","1.048","1.180","1.152","1.141","1.210","1.113","1.227","1.273","1.281","1.215","1.038","1.157","1.273","1.159","1.152","1.214","0.938","1.009","0.644","0.824","1.151","1.205"
"3.320","1.373","1.438","1.499","1.381","1.242","1.442","1.233","1.320","1.448","1.147","0.707","0.468","0.508","0.549","0.432","0.815","0.399","0.359","0.131","0.094","-0.022","0.104","-0.008","0.040","0.026","0.585","1.034","1.018","0.949","1.079","1.066","1.025","1.109","1.008","1.105","1.163","1.155","1.079","0.904","1.022","1.165","1.041","1.036","1.117","0.833","0.903","0.551","0.747","1.079","1.116"
