,12/3/2020 10:53:47 AM,12/3/2020 10:56:47 AM,12/3/2020 10:59:47 AM,12/3/2020 11:02:47 AM,12/3/2020 11:05:47 AM,12/3/2020 11:08:47 AM,12/3/2020 11:11:47 AM,12/3/2020 11:14:48 AM,12/3/2020 11:17:48 AM,12/3/2020 11:20:48 AM,12/3/2020 11:23:49 AM,12/3/2020 11:26:49 AM,12/3/2020 11:29:50 AM,12/3/2020 11:32:50 AM,12/3/2020 11:35:50 AM,12/3/2020 11:38:50 AM,12/3/2020 11:41:52 AM,12/3/2020 11:44:53 AM,12/3/2020 11:47:53 AM,12/3/2020 11:50:54 AM,12/3/2020 11:53:54 AM,12/3/2020 11:56:54 AM,12/3/2020 11:59:54 AM,12/3/2020 12:02:54 PM,12/3/2020 12:05:54 PM,12/3/2020 12:08:54 PM,12/3/2020 12:11:55 PM,12/3/2020 12:14:55 PM,12/3/2020 12:17:56 PM,12/3/2020 12:20:56 PM,12/3/2020 12:23:56 PM,12/3/2020 12:26:56 PM,12/3/2020 12:29:56 PM,12/3/2020 12:32:56 PM,12/3/2020 12:35:56 PM,12/3/2020 12:38:58 PM,12/3/2020 12:41:58 PM,12/3/2020 12:44:58 PM,12/3/2020 12:47:58 PM,12/3/2020 12:50:58 PM,12/3/2020 12:53:58 PM,12/3/2020 12:56:59 PM,12/3/2020 12:59:59 PM,12/3/2020 1:02:59 PM,12/3/2020 1:06:00 PM,12/3/2020 1:09:00 PM,12/3/2020 1:12:00 PM,12/3/2020 1:15:00 PM,12/3/2020 1:18:00 PM,12/3/2020 1:21:01 PM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"1.286","2.847","2.862","2.649","2.674","2.816","2.751","2.663","2.571","2.555","2.506","2.521","2.438","2.487","2.467","2.483","2.436","2.323","2.260","2.252","2.204","2.146","2.245","2.183","2.285","2.319","2.291","2.298","2.277","2.201","2.239","2.192","2.167","2.109","2.224","2.185","2.137","2.182","2.266","2.319","2.298","2.432","2.471","2.548","2.518","2.668","2.856","2.964","3.188","3.382","3.259"
"1.541","2.454","2.465","2.274","2.270","2.425","2.357","2.268","2.153","2.141","2.054","2.085","1.981","2.053","2.016","2.061","1.982","1.916","1.879","1.861","1.849","1.798","1.859","1.790","1.870","1.925","1.923","1.894","1.923","1.844","1.846","1.849","1.820","1.747","1.891","1.859","1.783","1.843","1.925","1.952","1.959","2.064","2.097","2.166","2.152","2.277","2.467","2.570","2.787","3.049","2.972"
"1.795","2.248","2.266","2.096","2.066","2.210","2.136","2.073","1.938","1.944","1.859","1.896","1.773","1.863","1.809","1.892","1.782","1.718","1.700","1.664","1.660","1.624","1.665","1.608","1.671","1.725","1.748","1.715","1.764","1.686","1.669","1.677","1.646","1.581","1.711","1.697","1.609","1.669","1.737","1.787","1.800","1.904","1.958","2.042","2.024","2.126","2.287","2.371","2.577","2.799","2.793"
"2.049","2.222","2.244","2.052","2.001","2.139","2.058","2.029","1.880","1.917","1.849","1.882","1.765","1.861","1.800","1.872","1.776","1.690","1.673","1.646","1.614","1.590","1.608","1.583","1.630","1.696","1.704","1.717","1.733","1.660","1.663","1.655","1.625","1.562","1.664","1.664","1.599","1.625","1.688","1.782","1.792","1.884","1.947","2.042","2.049","2.130","2.270","2.340","2.476","2.631","2.662"
"2.303","2.158","2.174","1.884","1.826","1.975","1.870","1.876","1.742","1.808","1.764","1.789","1.667","1.764","1.697","1.756","1.682","1.596","1.555","1.582","1.485","1.458","1.484","1.432","1.503","1.606","1.583","1.614","1.587","1.547","1.546","1.536","1.524","1.438","1.537","1.529","1.493","1.522","1.583","1.695","1.720","1.799","1.883","1.975","1.971","2.053","2.193","2.273","2.359","2.448","2.481"
"2.557","1.864","1.865","1.452","1.403","1.564","1.432","1.462","1.376","1.488","1.451","1.506","1.337","1.429","1.364","1.414","1.341","1.222","1.168","1.227","1.120","1.072","1.157","0.994","1.139","1.244","1.252","1.264","1.224","1.187","1.147","1.130","1.134","1.025","1.149","1.099","1.106","1.157","1.241","1.341","1.391","1.467","1.593","1.652","1.635","1.728","1.911","2.004","2.083","2.116","2.147"
"2.812","1.490","1.447","0.905","0.892","1.030","0.891","0.935","0.899","1.069","1.035","1.125","0.890","1.003","0.926","0.962","0.868","0.691","0.632","0.696","0.645","0.584","0.698","0.494","0.650","0.755","0.825","0.811","0.755","0.706","0.633","0.604","0.609","0.468","0.648","0.547","0.608","0.636","0.767","0.858","0.905","1.041","1.151","1.173","1.187","1.306","1.516","1.616","1.672","1.717","1.742"
"3.066","1.275","1.195","0.530","0.556","0.668","0.517","0.604","0.582","0.769","0.751","0.823","0.560","0.726","0.614","0.634","0.533","0.324","0.262","0.341","0.340","0.256","0.373","0.191","0.325","0.424","0.555","0.505","0.439","0.377","0.331","0.256","0.245","0.096","0.298","0.201","0.285","0.297","0.416","0.543","0.571","0.776","0.843","0.844","0.889","1.042","1.253","1.341","1.356","1.460","1.476"
"3.320","1.213","1.127","0.451","0.475","0.598","0.414","0.528","0.476","0.659","0.610","0.674","0.418","0.614","0.464","0.504","0.388","0.195","0.155","0.208","0.256","0.131","0.245","0.087","0.214","0.294","0.459","0.371","0.322","0.242","0.227","0.143","0.118","-0.020","0.174","0.100","0.195","0.205","0.273","0.429","0.471","0.687","0.719","0.731","0.791","0.917","1.147","1.212","1.182","1.329","1.307"
"3.574","1.334","1.279","0.772","0.776","0.904","0.714","0.808","0.654","0.811","0.720","0.780","0.542","0.718","0.590","0.656","0.537","0.380","0.360","0.386","0.441","0.334","0.396","0.289","0.378","0.458","0.600","0.526","0.534","0.434","0.421","0.350","0.329","0.215","0.393","0.354","0.438","0.450","0.484","0.638","0.710","0.902","0.897","0.946","0.983","1.047","1.301","1.363","1.311","1.414","1.336"
"3.828","1.576","1.544","1.217","1.211","1.334","1.176","1.247","1.021","1.112","1.032","1.033","0.881","1.006","0.934","1.012","0.899","0.786","0.739","0.769","0.787","0.738","0.740","0.690","0.762","0.832","0.911","0.886","0.948","0.845","0.820","0.760","0.725","0.646","0.792","0.812","0.837","0.879","0.902","1.030","1.108","1.290","1.277","1.325","1.330","1.358","1.623","1.695","1.667","1.682","1.575"
"4.083","1.647","1.627","1.268","1.281","1.418","1.246","1.357","1.168","1.236","1.185","1.133","1.030","1.156","1.085","1.152","1.044","0.948","0.855","0.897","0.894","0.854","0.861","0.820","0.922","0.976","1.020","1.019","1.051","0.996","0.956","0.926","0.885","0.808","0.938","0.981","0.960","1.019","1.051","1.151","1.233","1.425","1.435","1.451","1.469","1.495","1.718","1.836","1.847","1.833","1.701"
"4.337","1.594","1.602","1.191","1.188","1.377","1.177","1.317","1.151","1.220","1.185","1.135","1.023","1.154","1.074","1.125","1.012","0.916","0.824","0.853","0.845","0.797","0.839","0.797","0.902","0.943","0.968","0.999","0.993","0.984","0.950","0.929","0.895","0.839","0.959","0.998","0.982","1.021","1.061","1.156","1.240","1.452","1.489","1.506","1.509","1.547","1.749","1.903","1.935","1.948","1.762"
"4.591","1.653","1.685","1.338","1.298","1.525","1.345","1.456","1.268","1.281","1.265","1.229","1.128","1.233","1.181","1.218","1.114","1.033","0.959","0.991","0.946","0.918","0.971","0.952","1.044","1.085","1.057","1.110","1.121","1.112","1.095","1.047","1.030","1.027","1.089","1.171","1.156","1.162","1.188","1.304","1.393","1.635","1.691","1.692","1.645","1.708","1.939","2.103","2.152","2.173","1.967"
"4.845","1.655","1.698","1.371","1.344","1.562","1.403","1.457","1.331","1.296","1.287","1.254","1.152","1.253","1.232","1.256","1.162","1.082","1.042","1.061","0.969","0.961","1.030","1.026","1.107","1.171","1.110","1.158","1.192","1.145","1.116","1.087","1.064","1.095","1.095","1.202","1.175","1.183","1.185","1.318","1.438","1.703","1.756","1.756","1.695","1.760","2.014","2.214","2.291","2.339","2.217"
"5.099","1.462","1.506","1.104","1.097","1.271","1.099","1.146","1.180","1.150","1.127","1.117","0.998","1.104","1.069","1.095","0.983","0.906","0.875","0.857","0.777","0.758","0.834","0.832","0.903","0.989","0.951","0.976","1.013","0.924","0.872","0.867","0.851","0.862","0.853","0.920","0.897","0.928","0.923","1.089","1.272","1.537","1.583","1.619","1.592","1.662","1.898","2.159","2.280","2.351","2.332"
"5.354","1.351","1.375","0.933","0.897","1.048","0.826","0.932","1.049","1.076","1.019","1.056","0.916","1.009","0.934","0.987","0.866","0.802","0.752","0.745","0.679","0.638","0.705","0.658","0.733","0.844","0.860","0.813","0.844","0.768","0.740","0.692","0.694","0.665","0.678","0.732","0.725","0.757","0.791","1.026","1.288","1.561","1.635","1.717","1.729","1.798","2.012","2.299","2.429","2.442","2.443"
"5.608","1.129","1.149","0.720","0.682","0.814","0.570","0.711","0.777","0.876","0.811","0.893","0.740","0.809","0.705","0.765","0.672","0.617","0.563","0.569","0.504","0.449","0.501","0.452","0.517","0.633","0.694","0.586","0.597","0.558","0.569","0.494","0.489","0.430","0.458","0.539","0.580","0.600","0.658","1.008","1.493","1.851","2.107","2.265","2.229","2.214","2.384","2.736","2.864","2.736","2.749"
"5.862","0.511","0.535","0.048","0.125","0.228","-0.052","0.105","0.174","0.325","0.289","0.412","0.231","0.309","0.200","0.242","0.146","0.079","0.037","0.011","-0.005","-0.066","-0.018","-0.039","-0.011","0.101","0.183","0.079","0.067","0.055","0.078","0.016","-0.011","-0.083","-0.052","0.020","0.145","0.149","0.159","0.627","1.480","1.946","2.544","2.771","2.659","2.617","2.771","3.307","3.636","3.251","3.443"
"6.116","-0.188","-0.147","-0.717","-0.515","-0.456","-0.785","-0.590","-0.477","-0.260","-0.289","-0.152","-0.351","-0.232","-0.351","-0.312","-0.440","-0.540","-0.596","-0.681","-0.631","-0.673","-0.611","-0.629","-0.596","-0.510","-0.395","-0.498","-0.527","-0.507","-0.492","-0.571","-0.601","-0.665","-0.626","-0.598","-0.416","-0.471","-0.502","-0.048","0.957","1.470","2.305","2.559","2.372","2.504","2.630","3.362","3.962","3.366","3.825"
"6.370","-0.588","-0.526","-1.143","-0.890","-0.905","-1.240","-1.028","-0.860","-0.575","-0.607","-0.464","-0.660","-0.527","-0.680","-0.624","-0.787","-0.910","-1.009","-1.129","-1.040","-1.046","-0.980","-1.032","-0.944","-0.897","-0.742","-0.865","-0.907","-0.865","-0.854","-0.937","-0.957","-1.030","-0.965","-0.999","-0.794","-0.879","-0.929","-0.556","0.347","0.908","1.772","2.068","1.792","2.108","2.143","2.926","3.598","3.082","3.604"
"6.625","-0.758","-0.701","-1.348","-1.064","-1.153","-1.478","-1.251","-1.040","-0.729","-0.756","-0.585","-0.813","-0.668","-0.850","-0.778","-0.965","-1.098","-1.244","-1.368","-1.250","-1.203","-1.177","-1.238","-1.143","-1.105","-0.915","-1.049","-1.081","-1.055","-1.037","-1.063","-1.106","-1.205","-1.097","-1.208","-0.986","-1.050","-1.105","-0.766","0.024","0.663","1.493","1.881","1.568","1.930","1.900","2.635","3.273","2.963","3.443"
"6.879","-0.904","-0.886","-1.534","-1.206","-1.333","-1.682","-1.435","-1.220","-0.916","-0.882","-0.728","-0.976","-0.847","-1.032","-0.928","-1.129","-1.266","-1.436","-1.558","-1.420","-1.372","-1.364","-1.373","-1.315","-1.265","-1.058","-1.173","-1.194","-1.190","-1.165","-1.136","-1.210","-1.328","-1.198","-1.374","-1.131","-1.169","-1.221","-0.900","-0.162","0.481","1.217","1.700","1.451","1.761","1.777","2.406","2.941","2.768","3.287"
"7.133","-1.184","-1.219","-1.772","-1.484","-1.576","-1.904","-1.693","-1.523","-1.235","-1.165","-1.059","-1.286","-1.164","-1.350","-1.221","-1.400","-1.551","-1.718","-1.834","-1.699","-1.662","-1.635","-1.617","-1.571","-1.496","-1.330","-1.409","-1.419","-1.443","-1.413","-1.380","-1.439","-1.567","-1.434","-1.613","-1.379","-1.407","-1.462","-1.196","-0.513","0.099","0.777","1.222","1.118","1.390","1.513","2.034","2.445","2.345","2.900"
"7.387","-1.505","-1.606","-2.026","-1.802","-1.872","-2.130","-1.976","-1.842","-1.585","-1.528","-1.413","-1.626","-1.520","-1.694","-1.588","-1.702","-1.895","-2.034","-2.133","-2.020","-1.945","-1.930","-1.936","-1.861","-1.789","-1.661","-1.729","-1.726","-1.790","-1.742","-1.728","-1.760","-1.866","-1.740","-1.886","-1.674","-1.700","-1.747","-1.553","-0.957","-0.319","0.415","0.732","0.735","1.015","1.215","1.680","2.081","1.976","2.520"
"7.641","-1.796","-1.951","-2.272","-2.077","-2.151","-2.342","-2.196","-2.106","-1.870","-1.859","-1.701","-1.912","-1.802","-1.979","-1.903","-1.950","-2.183","-2.316","-2.382","-2.277","-2.176","-2.187","-2.194","-2.123","-2.074","-1.941","-1.980","-2.008","-2.061","-1.999","-2.020","-2.044","-2.113","-1.954","-2.094","-1.930","-1.949","-1.979","-1.835","-1.353","-0.662","0.135","0.409","0.452","0.724","0.953","1.422","1.851","1.715","2.265"
