,12/3/2020 1:24:01 PM,12/3/2020 1:27:01 PM,12/3/2020 1:30:03 PM,12/3/2020 1:33:03 PM,12/3/2020 1:36:04 PM,12/3/2020 1:39:04 PM,12/3/2020 1:42:04 PM,12/3/2020 1:45:04 PM,12/3/2020 1:48:04 PM,12/3/2020 1:51:04 PM,12/3/2020 1:54:05 PM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"1.286","3.425","3.687","3.847","3.799","3.723","3.650","3.950","4.199","4.133","4.286","4.489"
"1.541","3.177","3.503","3.704","3.641","3.494","3.381","3.667","3.959","3.950","4.155","4.351"
"1.795","3.054","3.376","3.630","3.619","3.432","3.288","3.526","3.802","3.838","4.141","4.340"
"2.049","2.915","3.201","3.488","3.559","3.418","3.255","3.470","3.690","3.708","4.121","4.297"
"2.303","2.718","2.922","3.227","3.353","3.308","3.127","3.415","3.649","3.550","4.067","4.220"
"2.557","2.376","2.525","2.796","2.907","2.927","2.790","3.168","3.518","3.253","3.903","4.083"
"2.812","1.919","2.082","2.284","2.326","2.400","2.372","2.679","3.104","2.834","3.519","3.779"
"3.066","1.603","1.787","1.924","1.918","2.030","2.091","2.220","2.594","2.498","2.983","3.296"
"3.320","1.446","1.644","1.738","1.756","1.824","1.937","1.950","2.207","2.272","2.508","2.783"
"3.574","1.557","1.754","1.806","1.903","1.865","1.982","1.933","2.125","2.218","2.336","2.523"
"3.828","1.849","2.021","2.087","2.203","2.099","2.188","2.116","2.279","2.364","2.444","2.546"
"4.083","1.984","2.111","2.215","2.316","2.222","2.289","2.230","2.360","2.458","2.527","2.616"
"4.337","2.044","2.152","2.262","2.346","2.278","2.321","2.246","2.361","2.449","2.524","2.647"
"4.591","2.209","2.315","2.433","2.541","2.461","2.502","2.383","2.487","2.510","2.611","2.749"
"4.845","2.338","2.398","2.571","2.691","2.615","2.725","2.570","2.673","2.624","2.719","2.880"
"5.099","2.375","2.370","2.595","2.659","2.679","2.872","2.690","2.828","2.694","2.743","2.929"
"5.354","2.525","2.524","2.753","2.714","2.857","3.079","2.879","3.043","2.893","2.848","2.981"
"5.608","2.885","2.963","3.124","2.900","3.031","3.234","3.005","3.132","3.049","2.878","2.926"
