,12/2/2020 4:35:23 PM,12/2/2020 4:35:33 PM,12/2/2020 4:35:44 PM,12/2/2020 4:35:54 PM,12/2/2020 4:36:04 PM,12/2/2020 4:36:15 PM,12/2/2020 4:36:25 PM,12/2/2020 4:36:36 PM,12/2/2020 4:36:46 PM,12/2/2020 4:36:56 PM,12/2/2020 4:37:07 PM,12/2/2020 4:37:17 PM,12/2/2020 4:37:28 PM,12/2/2020 4:37:38 PM,12/2/2020 4:37:49 PM,12/2/2020 4:37:59 PM,12/2/2020 4:38:09 PM,12/2/2020 4:38:20 PM,12/2/2020 4:38:30 PM,12/2/2020 4:38:41 PM,12/2/2020 4:38:51 PM,12/2/2020 4:39:01 PM,12/2/2020 4:39:12 PM,12/2/2020 4:39:22 PM,12/2/2020 4:39:33 PM,12/2/2020 4:39:43 PM,12/2/2020 4:39:54 PM,12/2/2020 4:40:04 PM,12/2/2020 4:40:14 PM,12/2/2020 4:40:25 PM,12/2/2020 4:40:35 PM,12/2/2020 4:40:46 PM,12/2/2020 4:40:56 PM,12/2/2020 4:41:06 PM,12/2/2020 4:41:17 PM,12/2/2020 4:41:27 PM,12/2/2020 4:41:38 PM,12/2/2020 4:41:48 PM,12/2/2020 4:41:59 PM,12/2/2020 4:42:09 PM,12/2/2020 4:42:19 PM,12/2/2020 4:42:30 PM,12/2/2020 4:42:40 PM,12/2/2020 4:42:51 PM,12/2/2020 4:43:01 PM,12/2/2020 4:43:12 PM,12/2/2020 4:43:22 PM,12/2/2020 4:43:32 PM,12/2/2020 4:43:43 PM,12/2/2020 4:43:53 PM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"0.270","7.309","7.292","7.409","7.461","7.468","7.463","7.451","7.515","7.411","7.412","7.383","7.450","7.468","7.550","7.430","7.474","7.435","7.513","7.507","7.414","7.349","7.405","7.448","7.524","7.436","7.422","7.309","7.432","7.379","7.395","7.229","7.328","7.455","7.343","7.329","7.256","7.215","7.320","7.294","7.330","7.304","7.276","7.243","7.134","7.191","7.151","7.274","7.394","7.336","7.327"
"0.524","5.985","5.977","6.145","6.161","6.064","6.162","6.054","6.184","6.134","6.078","6.013","6.135","6.174","6.245","6.153","6.147","6.116","6.166","6.232","6.117","6.023","6.160","6.112","6.164","6.053","6.123","6.016","6.117","6.157","6.172","6.045","6.109","6.165","6.007","6.102","6.042","6.092","6.106","6.157","6.181","6.099","6.116","6.099","6.078","6.018","5.994","6.163","6.168","6.184","6.133"
"0.778","6.045","6.041","6.223","6.155","6.026","6.206","6.018","6.143","6.174","6.171","6.044","6.128","6.254","6.239","6.229","6.194","6.076","6.206","6.251","6.074","6.123","6.241","6.108","6.088","6.084","6.098","6.065","6.143","6.170","6.137","6.182","6.143","6.124","6.070","6.100","6.071","6.218","6.168","6.193","6.215","6.100","6.182","6.186","6.222","6.128","6.082","6.141","6.221","6.296","6.236"
"1.032","6.423","6.357","6.552","6.438","6.324","6.568","6.412","6.475","6.502","6.648","6.448","6.516","6.598","6.560","6.621","6.501","6.495","6.558","6.533","6.378","6.533","6.643","6.422","6.482","6.486","6.330","6.395","6.474","6.480","6.444","6.494","6.398","6.322","6.369","6.291","6.288","6.515","6.436","6.363","6.385","6.343","6.400","6.460","6.375","6.431","6.331","6.372","6.529","6.589","6.542"
"1.286","6.528","6.471","6.606","6.550","6.387","6.679","6.547","6.579","6.714","6.764","6.639","6.685","6.675","6.738","6.731","6.533","6.767","6.693","6.520","6.371","6.621","6.740","6.508","6.678","6.610","6.328","6.549","6.509","6.591","6.576","6.565","6.444","6.338","6.384","6.338","6.377","6.556","6.514","6.412","6.417","6.385","6.480","6.528","6.374","6.477","6.450","6.557","6.677","6.679","6.607"
"1.541","6.518","6.445","6.556","6.541","6.262","6.510","6.446","6.489","6.785","6.685","6.693","6.660","6.580","6.768","6.692","6.432","6.688","6.617","6.278","6.151","6.431","6.492","6.370","6.505","6.455","6.247","6.433","6.390","6.482","6.521","6.512","6.351","6.361","6.317","6.253","6.328","6.456","6.349","6.338","6.284","6.256","6.413","6.404","6.292","6.379","6.307","6.513","6.619","6.624","6.530"
"1.795","6.667","6.600","6.734","6.655","6.387","6.567","6.620","6.616","6.910","6.839","6.890","6.753","6.683","6.873","6.824","6.643","6.712","6.681","6.309","6.351","6.520","6.534","6.514","6.569","6.531","6.498","6.500","6.526","6.563","6.585","6.635","6.551","6.563","6.415","6.346","6.594","6.559","6.460","6.501","6.368","6.418","6.562","6.494","6.453","6.473","6.392","6.603","6.655","6.677","6.679"
"2.049","6.649","6.669","6.813","6.618","6.548","6.597","6.698","6.625","6.852","6.908","6.928","6.764","6.765","6.876","6.818","6.740","6.668","6.683","6.397","6.524","6.605","6.728","6.674","6.653","6.638","6.655","6.593","6.571","6.688","6.604","6.704","6.696","6.570","6.408","6.422","6.765","6.651","6.647","6.625","6.543","6.595","6.718","6.600","6.610","6.565","6.576","6.651","6.652","6.607","6.699"
"2.303","6.380","6.553","6.630","6.392","6.508","6.390","6.480","6.397","6.638","6.759","6.731","6.613","6.628","6.671","6.624","6.539","6.499","6.470","6.364","6.452","6.527","6.678","6.610","6.522","6.491","6.448","6.434","6.397","6.546","6.466","6.647","6.595","6.358","6.222","6.344","6.581","6.533","6.505","6.553","6.632","6.500","6.634","6.441","6.594","6.441","6.518","6.542","6.520","6.513","6.545"
