,12/2/2020 5:10:15 PM,12/2/2020 5:10:25 PM,12/2/2020 5:10:36 PM,12/2/2020 5:10:46 PM,12/2/2020 5:10:57 PM,12/2/2020 5:11:07 PM,12/2/2020 5:11:18 PM,12/2/2020 5:11:28 PM,12/2/2020 5:11:38 PM,12/2/2020 5:11:49 PM,12/2/2020 5:11:59 PM,12/2/2020 5:12:10 PM,12/2/2020 5:12:20 PM,12/2/2020 5:12:30 PM,12/2/2020 5:12:41 PM,12/2/2020 5:12:51 PM,12/2/2020 5:13:02 PM,12/2/2020 5:13:12 PM,12/2/2020 5:13:23 PM,12/2/2020 5:13:33 PM,12/2/2020 5:13:43 PM,12/2/2020 5:13:54 PM,12/2/2020 5:14:04 PM,12/2/2020 5:14:15 PM,12/2/2020 5:14:25 PM,12/2/2020 5:14:35 PM,12/2/2020 5:14:46 PM,12/2/2020 5:14:56 PM,12/2/2020 5:15:07 PM,12/2/2020 5:15:17 PM,12/2/2020 5:15:28 PM,12/2/2020 5:15:38 PM,12/2/2020 5:15:48 PM,12/2/2020 5:15:59 PM,12/2/2020 5:16:09 PM,12/2/2020 5:16:20 PM,12/2/2020 5:16:30 PM,12/2/2020 5:16:40 PM,12/2/2020 5:16:51 PM,12/2/2020 5:17:01 PM,12/2/2020 5:17:12 PM,12/2/2020 5:17:22 PM,12/2/2020 5:17:33 PM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"0.270","7.604","7.647","7.590","7.537","7.474","7.425","7.429","7.571","7.520","7.574","7.626","7.638","7.701","7.760","7.825","7.663","7.830","7.688","7.697","7.730","7.692","7.722","7.628","7.824","7.613","7.597","7.661","7.728","7.569","7.601","7.734","7.623","7.766","7.705","7.670","7.796","7.926","7.794","7.951","7.954","8.076","8.137","7.955"
"0.524","6.478","6.567","6.464","6.483","6.352","6.274","6.378","6.443","6.404","6.586","6.504","6.503","6.710","6.617","6.733","6.577","6.665","6.694","6.495","6.572","6.560","6.557","6.450","6.540","6.457","6.432","6.475","6.575","6.419","6.452","6.555","6.448","6.619","6.531","6.633","6.644","6.827","6.644","6.866","6.824","6.977","6.970","6.954"
"0.778","6.691","6.777","6.667","6.691","6.620","6.465","6.669","6.674","6.624","6.776","6.643","6.670","6.881","6.841","6.882","6.849","6.835","6.947","6.639","6.775","6.706","6.659","6.691","6.613","6.617","6.596","6.639","6.670","6.610","6.640","6.720","6.651","6.802","6.698","6.851","6.860","6.981","6.941","7.046","6.988","7.082","7.036","7.093"
"1.032","7.117","7.173","7.114","7.077","7.114","6.930","7.102","7.096","7.168","7.106","7.081","7.075","7.194","7.302","7.268","7.330","7.225","7.260","7.066","7.269","7.044","7.125","7.172","7.085","7.115","7.042","7.101","7.087","7.197","7.132","7.169","7.167","7.282","7.128","7.270","7.346","7.389","7.429","7.423","7.471","7.475","7.453","7.400"
"1.286","7.018","7.160","7.130","7.030","7.142","6.858","6.952","7.052","7.254","7.078","7.158","7.094","7.218","7.329","7.274","7.290","7.173","7.178","7.109","7.259","7.018","7.206","7.226","7.065","7.117","7.050","7.071","7.109","7.277","7.212","7.254","7.206","7.264","7.132","7.245","7.375","7.358","7.331","7.397","7.576","7.470","7.418","7.353"
"1.541","6.676","6.847","6.842","6.777","6.815","6.514","6.623","6.778","6.930","6.877","6.942","6.828","7.019","7.089","6.985","6.969","6.923","6.933","6.801","6.932","6.790","6.854","6.975","6.712","6.771","6.752","6.714","6.774","6.912","6.875","6.970","6.834","6.971","6.850","6.948","7.098","7.012","7.008","7.126","7.328","7.105","7.109","7.087"
"1.795","6.801","6.804","6.913","6.949","6.834","6.687","6.740","6.787","6.887","7.008","7.024","6.863","7.111","7.150","7.027","6.973","6.961","6.999","6.795","6.924","6.904","6.762","6.914","6.759","6.857","6.776","6.754","6.794","6.858","6.884","6.931","6.842","7.096","6.878","7.064","7.114","7.034","7.095","7.202","7.325","7.192","7.140","7.179"
"2.049","7.016","6.960","7.171","7.146","7.022","7.013","7.068","7.017","7.013","7.247","7.248","7.085","7.307","7.343","7.303","7.174","7.149","7.176","7.063","7.091","7.078","6.958","7.032","6.989","7.096","6.945","7.032","6.987","7.124","7.160","7.107","7.035","7.452","7.089","7.358","7.308","7.267","7.270","7.459","7.521","7.523","7.325","7.413"
"2.303","6.942","7.049","7.154","7.089","7.015","6.943","7.131","7.092","6.986","7.253","7.238","7.126","7.324","7.410","7.330","7.185","7.176","7.188","7.133","7.152","6.962","7.017","7.037","7.002","7.154","6.982","7.101","6.999","7.213","7.217","7.197","7.081","7.542","7.157","7.310","7.320","7.237","7.236","7.475","7.558","7.593","7.375","7.376"
