time, internal temperature,Probe, PT1002, 
11/30/20 16:15,14.55,38.79,838.71,
11/30/20 16:16,14.63,38.66,838.71,
11/30/20 16:17,14.72,38.54,838.71,
11/30/20 16:18,14.8,38.42,838.71,
11/30/20 16:19,14.89,38.3,838.71,
11/30/20 16:20,14.98,38.18,838.71,
11/30/20 16:21,15.07,38.07,838.71,
11/30/20 16:22,15.17,37.95,838.71,
11/30/20 16:23,15.26,37.85,838.71,
11/30/20 16:24,15.36,37.74,838.71,
11/30/20 16:25,15.45,37.63,838.71,
11/30/20 16:26,15.55,37.52,838.71,
11/30/20 16:27,15.65,37.42,838.71,
11/30/20 16:28,15.75,37.31,838.71,
11/30/20 16:29,15.85,37.21,838.71,
11/30/20 16:30,15.96,37.11,838.71,
11/30/20 16:31,16.06,37.01,838.71,
11/30/20 16:32,16.16,36.91,838.71,
11/30/20 16:33,16.26,36.81,838.71,
11/30/20 16:34,16.37,36.72,838.71,
11/30/20 16:35,16.47,36.62,838.71,
11/30/20 16:36,16.57,36.52,838.71,
11/30/20 16:37,16.68,36.43,838.71,
11/30/20 16:38,16.78,36.34,838.71,
11/30/20 16:39,16.89,36.24,838.71,
11/30/20 16:40,16.99,36.15,838.71,
11/30/20 16:41,17.09,36.06,838.71,
11/30/20 16:42,17.2,35.97,838.71,
11/30/20 16:43,17.3,35.89,838.71,
11/30/20 16:44,17.41,35.8,838.71,
11/30/20 16:45,17.51,35.71,838.71,
11/30/20 16:46,17.61,35.63,838.71,
11/30/20 16:47,17.72,35.54,838.71,
11/30/20 16:48,17.82,35.46,838.71,
11/30/20 16:49,17.92,35.37,838.71,
11/30/20 16:50,18.02,35.29,838.71,
11/30/20 16:51,18.13,35.21,838.71,
11/30/20 16:52,18.23,35.13,838.71,
11/30/20 16:53,18.33,35.04,838.71,
11/30/20 16:54,18.43,34.96,838.71,
11/30/20 16:55,18.53,34.88,838.71,
11/30/20 16:56,18.63,34.8,838.71,
11/30/20 16:57,18.73,34.73,838.71,
