INT=21.07ºC PT1=19.09ºC PT2=838.71ºC
distance,temperature
"-222.409","0.000"
"-222.155","0.000"
"-221.901","0.000"
"-221.646","0.000"
"-221.392","0.000"
"-221.138","0.000"
"-220.884","0.000"
"-220.630","0.000"
"-220.375","0.000"
"-220.121","0.000"
"-219.867","0.000"
"-219.613","0.000"
"-219.359","0.000"
"-219.104","0.000"
"-218.850","0.000"
"-218.596","0.000"
"-218.342","0.000"
"-218.088","0.000"
"-217.833","0.000"
"-217.579","0.000"
"-217.325","0.000"
"-217.071","0.000"
"-216.817","0.000"
"-216.562","0.000"
"-216.308","0.000"
"-216.054","0.000"
"-215.800","0.000"
"-215.546","0.000"
"-215.291","0.000"
"-215.037","0.000"
"-214.783","0.000"
"-214.529","0.000"
"-214.275","0.000"
"-214.020","0.000"
"-213.766","0.000"
"-213.512","0.000"
"-213.258","0.000"
"-213.004","0.000"
"-212.749","0.000"
"-212.495","0.000"
"-212.241","0.000"
"-211.987","0.000"
"-211.733","0.000"
"-211.478","0.000"
"-211.224","0.000"
"-210.970","0.000"
"-210.716","0.000"
"-210.462","0.000"
"-210.207","0.000"
"-209.953","0.000"
"-209.699","0.000"
"-209.445","0.000"
"-209.191","0.000"
"-208.936","0.000"
"-208.682","0.000"
"-208.428","0.000"
"-208.174","0.000"
"-207.920","0.000"
"-207.665","0.000"
"-207.411","0.000"
"-207.157","0.000"
"-206.903","0.000"
"-206.649","0.000"
"-206.394","0.000"
"-206.140","0.000"
"-205.886","0.000"
"-205.632","0.000"
"-205.378","0.000"
"-205.123","0.000"
"-204.869","0.000"
"-204.615","0.000"
"-204.361","0.000"
"-204.107","0.000"
"-203.852","0.000"
"-203.598","0.000"
"-203.344","0.000"
"-203.090","0.000"
"-202.836","0.000"
"-202.581","0.000"
"-202.327","0.000"
"-202.073","0.000"
"-201.819","0.000"
"-201.565","0.000"
"-201.310","0.000"
"-201.056","0.000"
"-200.802","0.000"
"-200.548","0.000"
"-200.294","0.000"
"-200.039","0.000"
"-199.785","0.000"
"-199.531","0.000"
"-199.277","0.000"
"-199.023","0.000"
"-198.768","0.000"
"-198.514","0.000"
"-198.260","0.000"
"-198.006","0.000"
"-197.752","0.000"
"-197.497","0.000"
"-197.243","0.000"
"-196.989","0.000"
"-196.735","0.000"
"-196.481","0.000"
"-196.226","0.000"
"-195.972","0.000"
"-195.718","0.000"
"-195.464","0.000"
"-195.210","0.000"
"-194.955","0.000"
"-194.701","0.000"
"-194.447","0.000"
"-194.193","0.000"
"-193.939","0.000"
"-193.684","0.000"
"-193.430","0.000"
"-193.176","0.000"
"-192.922","0.000"
"-192.668","0.000"
"-192.413","0.000"
"-192.159","0.000"
"-191.905","0.000"
"-191.651","0.000"
"-191.397","0.000"
"-191.142","0.000"
"-190.888","0.000"
"-190.634","0.000"
"-190.380","0.000"
"-190.126","0.000"
"-189.871","0.000"
"-189.617","0.000"
"-189.363","0.000"
"-189.109","0.000"
"-188.855","0.000"
"-188.600","0.000"
"-188.346","0.000"
"-188.092","0.000"
"-187.838","0.000"
"-187.584","0.000"
"-187.329","0.000"
"-187.075","0.000"
"-186.821","0.000"
"-186.567","0.000"
"-186.313","0.000"
"-186.058","0.000"
"-185.804","0.000"
"-185.550","0.000"
"-185.296","0.000"
"-185.042","0.000"
"-184.787","0.000"
"-184.533","0.000"
"-184.279","0.000"
"-184.025","0.000"
"-183.771","0.000"
"-183.516","0.000"
"-183.262","0.000"
"-183.008","0.000"
"-182.754","0.000"
"-182.500","0.000"
"-182.245","0.000"
"-181.991","0.000"
"-181.737","0.000"
"-181.483","0.000"
"-181.229","0.000"
"-180.974","0.000"
"-180.720","0.000"
"-180.466","0.000"
"-180.212","0.000"
"-179.958","0.000"
"-179.703","0.000"
"-179.449","0.000"
"-179.195","0.000"
"-178.941","0.000"
"-178.687","0.000"
"-178.432","0.000"
"-178.178","0.000"
"-177.924","0.000"
"-177.670","0.000"
"-177.416","0.000"
"-177.162","0.000"
"-176.907","0.000"
"-176.653","0.000"
"-176.399","0.000"
"-176.145","0.000"
"-175.891","0.000"
"-175.636","0.000"
"-175.382","0.000"
"-175.128","0.000"
"-174.874","0.000"
"-174.620","0.000"
"-174.365","0.000"
"-174.111","0.000"
"-173.857","0.000"
"-173.603","0.000"
"-173.349","0.000"
"-173.094","0.000"
"-172.840","0.000"
"-172.586","0.000"
"-172.332","0.000"
"-172.078","0.000"
"-171.823","0.000"
"-171.569","0.000"
"-171.315","0.000"
"-171.061","0.000"
"-170.807","0.000"
"-170.552","0.000"
"-170.298","0.000"
"-170.044","0.000"
"-169.790","0.000"
"-169.536","0.000"
"-169.281","0.000"
"-169.027","0.000"
"-168.773","0.000"
"-168.519","0.000"
"-168.265","0.000"
"-168.010","0.000"
"-167.756","0.000"
"-167.502","0.000"
"-167.248","0.000"
"-166.994","0.000"
"-166.739","0.000"
"-166.485","0.000"
"-166.231","0.000"
"-165.977","0.000"
"-165.723","0.000"
"-165.468","0.000"
"-165.214","0.000"
"-164.960","0.000"
"-164.706","0.000"
"-164.452","0.000"
"-164.197","0.000"
"-163.943","0.000"
"-163.689","0.000"
"-163.435","0.000"
"-163.181","0.000"
"-162.926","0.000"
"-162.672","0.000"
"-162.418","0.000"
"-162.164","0.000"
"-161.910","0.000"
"-161.655","0.000"
"-161.401","0.000"
"-161.147","0.000"
"-160.893","0.000"
"-160.639","0.000"
"-160.384","0.000"
"-160.130","0.000"
"-159.876","0.000"
"-159.622","0.000"
"-159.368","0.000"
"-159.113","0.000"
"-158.859","0.000"
"-158.605","0.000"
"-158.351","0.000"
"-158.097","0.000"
"-157.842","0.000"
"-157.588","0.000"
"-157.334","0.000"
"-157.080","0.000"
"-156.826","0.000"
"-156.571","0.000"
"-156.317","0.000"
"-156.063","0.000"
"-155.809","0.000"
"-155.555","0.000"
"-155.300","0.000"
"-155.046","0.000"
"-154.792","0.000"
"-154.538","0.000"
"-154.284","0.000"
"-154.029","0.000"
"-153.775","0.000"
"-153.521","0.000"
"-153.267","0.000"
"-153.013","0.000"
"-152.758","0.000"
"-152.504","0.000"
"-152.250","0.000"
"-151.996","0.000"
"-151.742","0.000"
"-151.487","0.000"
"-151.233","0.000"
"-150.979","0.000"
"-150.725","0.000"
"-150.471","0.000"
"-150.216","0.000"
"-149.962","0.000"
"-149.708","0.000"
"-149.454","0.000"
"-149.200","0.000"
"-148.945","0.000"
"-148.691","0.000"
"-148.437","0.000"
"-148.183","0.000"
"-147.929","0.000"
"-147.674","0.000"
"-147.420","0.000"
"-147.166","0.000"
"-146.912","0.000"
"-146.658","0.000"
"-146.403","0.000"
"-146.149","0.000"
"-145.895","0.000"
"-145.641","0.000"
"-145.387","0.000"
"-145.132","0.000"
"-144.878","0.000"
"-144.624","0.000"
"-144.370","0.000"
"-144.116","0.000"
"-143.861","0.000"
"-143.607","0.000"
"-143.353","0.000"
"-143.099","0.000"
"-142.845","0.000"
"-142.590","0.000"
"-142.336","0.000"
"-142.082","0.000"
"-141.828","0.000"
"-141.574","0.000"
"-141.319","0.000"
"-141.065","0.000"
"-140.811","0.000"
"-140.557","0.000"
"-140.303","0.000"
"-140.048","0.000"
"-139.794","0.000"
"-139.540","0.000"
"-139.286","0.000"
"-139.032","0.000"
"-138.777","0.000"
"-138.523","0.000"
"-138.269","0.000"
"-138.015","0.000"
"-137.761","0.000"
"-137.506","0.000"
"-137.252","0.000"
"-136.998","0.000"
"-136.744","0.000"
"-136.490","0.000"
"-136.235","0.000"
"-135.981","0.000"
"-135.727","0.000"
"-135.473","0.000"
"-135.219","0.000"
"-134.964","0.000"
"-134.710","0.000"
"-134.456","0.000"
"-134.202","0.000"
"-133.948","0.000"
"-133.693","0.000"
"-133.439","0.000"
"-133.185","0.000"
"-132.931","0.000"
"-132.677","0.000"
"-132.422","0.000"
"-132.168","0.000"
"-131.914","0.000"
"-131.660","0.000"
"-131.406","0.000"
"-131.151","0.000"
"-130.897","0.000"
"-130.643","0.000"
"-130.389","0.000"
"-130.135","0.000"
"-129.880","0.000"
"-129.626","0.000"
"-129.372","0.000"
"-129.118","0.000"
"-128.864","0.000"
